Cell Type	Z-score	Cluster
T cell	7.566411346854375	0
CD4+ T cell	4.983099312688371	0
CD8+ T cell	4.467372841610898	0
Naive CD8+ T cell	4.2979127257043315	0
Naive CD4+ T cell	3.594213256901979	0
Naive T(Th0) cell	2.873888518043417	0
Central memory CD8+ T cell	2.376476763874581	0
Central memory CD4+ T cell	2.3477814857696395	0
Effector memory T cell	1.9480905933437065	0
Naive CD4 T cell	1.8662023103791479	0
Natural killer cell	1.8396322248333425	0
B cell	1.7122999718128449	0
Regulatory T(Treg) cell	1.6153672236410341	0
Central memory T cell	1.58423032643561	0
Natural killer T (NKT) cell	1.2337206285989732	0
Memory CD4+ T cell	1.1842620455108388	0
Memory B cell	0.9680857904480814	0
Natural killer T(NKT) cell	0.9407267694948322	0
Plasma cell	0.6195927028525066	0
Lymphocyte	0.5759600181537045	0
Hematopoietic stem cell	0.4384132161058304	0
Plasmablast	0.355851170298474	0
Naive B cell	0.3186849319822712	0
CD8 T cell	0.2226191426642295	0
Gamma delta(γδ) T cell	0.2226191426642295	0
Naive T cell	0.21610981541731492	0
Cytotoxic T cell	0.2017917836425097	0
Effector memory CD8+ T cell	0.16645081884959617	0
Immune cell	0.16359693541508655	0
Switched memory B cell(Sw MB)	0.14385019899239646	0
Progenitor cell	0.1306795172629217	0
Hematopoietic progenitor cell	0.1306795172629217	0
Dendritic cell	0.09660230965934398	0
Macrophage	0.09660230965934398	0
Marginal zone(MZ)-like B cell	0.03539435797810039	0
Non-switched memory B cell	0.03539435797810039	0
Unswitched memory B cell(UnSw MB)	0.03539435797810039	0
Memory T cell	0.005924325556231587	0
Naive CD8 T cell	-0.015600907159148596	0
Oligodendrocyte	-0.032271916794029645	0
Regulatory CD4+ T cell	-0.03287567063042863	0
Activated T cell	-0.035031016912925594	0
Effector CD4+ T cell	-0.03991422511034845	0
Memory CD8+ T cell	-0.04449216186416896	0
Innate lymphoid cell	-0.048503634922008224	0
Effector CD8+ T cell	-0.06309685052831696	0
Monocyte	-0.0752753407324771	0
Activated dendritic cell	-0.07715634744953023	0
Stem memory T cell	-0.07715634744953023	0
T follicular helper(Tfh) cell	-0.08782838666798437	0
Resting memory B cell	-0.11655717667482779	0
Terminal differentiated B cell	-0.11655717667482779	0
IgM memory B cell	-0.11655717667482779	0
Switched memory B cell	-0.11655717667482779	0
Activated B cell	-0.11655717667482779	0
Class-switched memory B cell	-0.11655717667482779	0
Regulatory B(Breg) cell	-0.11655717667482779	0
Principal cell	-0.11737424885467296	0
Multilymphoid progenitor cell	-0.21789273234863685	0
Mitotic arrest phase fetal germ cell	-0.26809089828190114	0
Sertoli cell	-0.2967747397909436	0
Mitotic fetal germ cell	-0.29996161309628167	0
T helper cell	-0.30534259087917853	0
Activated CD4+ T cell	-0.30534259087917853	0
Oogenesis phase fetal germ cell	-0.31540317762319686	0
Ionocyte cell	-0.3214728345646956	0
Ciliated epithelial cell	-0.3248930491632861	0
Astrocyte	-0.3254201643958489	0
Stem cell	-0.326598531533996	0
SLC16A7+ cell	-0.32755002760726515	0
Memory Stem Cell(Tscm)	-0.32908542644664707	0
CD4 T cell	-0.32997612351853695	0
Activated CD8+ T cell	-0.32997612351853695	0
CD4+ central memory like T (Tcm-like) cell	-0.33027545794482016	0
Lake et al.Science.Ex6	-0.334142836259328	0
Endothelial cell	-0.3455550122806572	0
Dividing T cell	-0.34750817051859745	0
Migratory langerhans cell	-0.3477456499058473	0
Leydig precursor cell	-0.3484632207302346	0
Proliferative CD8+ T cell	-0.34869820201677054	0
Regulatory CD8+ T cell	-0.34869820201677054	0
Exhausted CD4+ T cell	-0.34869820201677054	0
Exhausted CD8+ T cell	-0.34869820201677054	0
Proliferative CD4+ T cell	-0.34869820201677054	0
Thymus seeding progenitor (TSP)	-0.35050677407023567	0
Dendritic cell 2A	-0.3510176356662151	0
Effector T(Teff) cell	-0.35104096192750656	0
Plasmacytoid dendritic cell(pDC)	-0.35110281696654	0
CD8+ recently activated effector memory or effector T cell (CTL)	-0.3515518235234859	0
CD8+ mucosal-associated invariant T cell(CD8+ MAIT)	-0.3515518235234859	0
Exhausted T(Tex) cell	-0.3515518235234859	0
CD4+ cytotoxic T2 cell	-0.35161367856251935	0
CD4+ cytotoxic T1 cell	-0.35161367856251935	0
Hematopoietic cell	-0.3556368439451656	0
Common lymphoid progenitor cell	-0.3556368439451656	0
CD34+ hematopoietic stem cell	-0.3556368439451656	0
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.3556368439451656	0
Hematopoietic-related cell	-0.3556368439451656	0
Secretory progenitor cell	-0.3625282432484468	0
Gonadal endothelial cell	-0.36271585405432055	0
Trophectoderm cell	-0.36446518841935255	0
Epithelial cell	-0.36446518841935255	0
Liver bud hepatic cell	-0.3652324753819621	0
Morula cell (Blastomere)	-0.36791863562547084	0
Paneth cell	-0.3679897761737029	0
Granulosa cell	-0.3687376376986257	0
Lymphoid progenitor cell	-0.3690838705235464	0
Resident memory CD8+ T cell	-0.3690838705235464	0
Mucosa-associated invariant T (MAIT) cell	-0.3690838705235464	0
Circulating fetal cell	-0.3690838705235464	0
Mural cell	-0.3690838705235464	0
Naive-like T cell	-0.3690838705235464	0
Effector memory CD4+ T cell	-0.3690838705235464	0
Helper innate lymphoid cell	-0.3690838705235464	0
Lymphoid cell	-0.3690838705235464	0
Innate Lymphoid cell	-0.3690838705235464	0
Cardiomyocyte	-0.3695255610384904	0
Early effector T cell	-0.3695255610384904	0
Stromal cell	-0.3695255610384904	0
Proliferative T cell	-0.3695255610384904	0
Naive cytotoxic T cell	-0.3695255610384904	0
NK and T cell	-0.3695255610384904	0
CD4+ T helper cell	-0.3695255610384904	0
Meiotic prophase fetal germ cell	-0.36960991988341296	0
LGR5+ stem cell	-0.36960991988341296	0
M1 macrophage	-0.36976304042574015	0
Conventional dendritic cell(cDC)	-0.36976304042574015	0
Memory CD4 T cell	-0.36976304042574015	0
Recent thymic T-cell emigrant	-0.36976304042574015	0
Central memory T helper 1 cell	-0.36976304042574015	0
Circulating memory T cell	-0.36976304042574015	0
CCR7+ dendritic cell	-0.36976304042574015	0
T memory stem cell	-0.36976304042574015	0
AIRE-enriched cell	-0.36976304042574015	0
Effector CD4+ memory T (Tem) cell	-0.36976304042574015	0
Migratory dendritic cell	-0.36976304042574015	0
Tissue resident memory T(TRM) cell	-0.36976304042574015	0
Cancer cell	-0.36976304042574015	0
Epidermal cell	-0.36995414267158805	0
